text,polarity,subjectivity
"Brooklyn, New York 🗽 via: killahwave https://t.co/02w8K9svfU",0.13636363636363635,0.45454545454545453
RT @joncoopertweets: BREAKING: A New York judge handed a major loss Thursday to Donald Trump in the defamation lawsuit brought by my friend…,0.09943181818181818,0.4772727272727273
RT @NPR: Gov. Andrew Cuomo said schools in New York state can open for in-person learning this fall due to low coronavirus infection rates.…,0.0028409090909090884,0.40738636363636366
RT @gatewaypundit: BREAKING: New York Judge Requests Testimony from Julian Assange in Seth Rich Case https://t.co/YTpeOL4MkN via @gatewaypu…,0.2556818181818182,0.6022727272727273
RT @ScottHech: Meanwhile two lawyers face a 45 years to life in prison in New York for damaging a police vehicle with no one inside of it.,0.13636363636363635,0.45454545454545453
"The time is 8PM in New York, NY.
The date is August 7th, 2020.

Today's high was: 81°F
August 7th historical averag… https://t.co/C7EphAla61",0.0987878787878788,0.3315151515151515
RT @3FingersXIX: The New York State Attorney General is so black I can't even see her. https://t.co/RebnN0cllV,0.006565656565656571,0.46262626262626266
"The time is 8PM in New York, NY.
The date is August 7th, 2020.

Today's high was: 81°F
August 7th historical averag… https://t.co/tYWDvfC9oS",0.0987878787878788,0.3315151515151515
"i am no one special, only but a curious person longing for the new york power rankings, january to march 2020 https://t.co/2vL1K5sOok",0.09837662337662337,0.7564935064935064
Lets go New York 🙌🏾,0.13636363636363635,0.45454545454545453
"@SGSafran @randall_tex @mlipsitch Whether I should go out more would seem to be the issue! But, when I say herd imm… https://t.co/Wz5FR7PTM0",0.625,0.5
"@GodFamilyJesus New York.
California is too beautiful!",0.5681818181818181,0.7272727272727273
"RT @KalhanR: ICYMI: The New York Times has reported on the Freedom to Breathe Agency (lol), which fraudulently claims to be a government ag…",0.4681818181818182,0.5772727272727273
"RT @thebradfordfile: WOW. Governor Cuomo has just announced all schools will reopen this fall in New York. The teachers unions take a loss,…",0.11818181818181818,0.7272727272727273
RT @DanKEberhart: Bill de Blasio continues to prove that he is the worst Mayor in NYC's history. https://t.co/66KBBPCycC,-1.0,1.0
The New York Times https://t.co/0RqR0yMerb,0.13636363636363635,0.45454545454545453
RT @joncoopertweets: BREAKING: A New York judge handed a major loss Thursday to Donald Trump in the defamation lawsuit brought by my friend…,0.09943181818181818,0.4772727272727273
@LangmanVince Oh God you are probably right...they are both unstable...New York is setting up check points for coro… https://t.co/AlH3ycpyKI,0.0,0.0
«Frodi e corruzione alla Nra»: il tribunale di New York vuole sciogliere la lobby delle armi https://t.co/f5G7UrpLor https://t.co/5vnr8Aif1I,0.13636363636363635,0.45454545454545453
"RT @RadioFreeTom: He is supplying New York and New Jersey with things as needed, but thankfully there is nothing needed, but if they were n…",0.13636363636363635,0.45454545454545453
"Checkout our #worldwide #Restaurants #database.

restaurants in #newyork
restaurants in #Chicago
restaurants in… https://t.co/MAqQUql72C",0.0,0.0
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
@NYGovCuomo Friends don't let friends live in New York.,0.13636363636363635,0.4772727272727273
"New York's governor has given the green light for every school district in the state to reopen.

But in New York Ci… https://t.co/uvM9NFkH7u",0.11818181818181818,0.4772727272727273
School districts have a lot more clarity after the governor's conference call Friday about reopening this fall.… https://t.co/zoXYiLpFBB,0.5,0.5
"@MollyJongFast New Jersey was the first state to mandate mask-wearing indoors. It did so back on April 8, when the… https://t.co/C5b6G4yzFf",0.12878787878787878,0.2626262626262626
"In New York, it is illegal for a father to call his son a ""faggot"" or ""queer"" in an effort to curb ""girlie behavior.""",-0.18181818181818182,0.4772727272727273
Crews began pouring concrete Friday morning at the future home of the ROC City Skate Park. https://t.co/y20TPRa0fy,0.07500000000000001,0.21250000000000002
"Opinion | John Lewis: Together, You Can Redeem the Soul of Our Nation – The New York Times 
https://t.co/jXjPdyADN4",0.13636363636363635,0.45454545454545453
🌸 The New York Botanical Garden (@NYBG) announces plans to reopen to the general public July 28 — with safety restr… https://t.co/p7qGTWSSbO,0.062121212121212126,0.34040404040404043
Kansas’ Stephanie Byers and New York’s Ritchie Torres are poised to make history after winning their primaries. https://t.co/tmEOSIgwrj,0.3181818181818182,0.6022727272727273
"RT @AnnCoulter: Hey, Letitia!  You know what else is in New York?  Rev. Al Sharpton's National Action Network. Any accounting problems ther…",0.11818181818181818,0.2772727272727273
"Sadly, when you think of places where pushiness gets you nowhere, Journalism and New York City spring immediately to mind.",-0.18181818181818182,0.7272727272727273
RT @EmeraldRobinson: One reason that Gov. Cuomo and Sen. Schumer suddenly want to re-open New York schools: the massive exodus of NY taxpay…,0.04545454545454545,0.6515151515151515
i miss being drunk in new york after the club trying to figure how i’m going to find my way home.,-0.18181818181818182,0.7272727272727273
RT @ScottHech: Meanwhile two lawyers face a 45 years to life in prison in New York for damaging a police vehicle with no one inside of it.,0.13636363636363635,0.45454545454545453
"RT @AndrewPollackFL: New York City in July:

Murders up 59%

Shootings up 177%

Burglaries up 31%

Auto thefts up 53%

What is the response…",0.13636363636363635,0.45454545454545453
"RT @DanielleCBRA: 🥈 TOP 10 LOOKS DA DANIELLE 🥈

#2 -  Danielle Campbell nas ruas de New York | 23 https://t.co/8fOTXwMr3q",0.3181818181818182,0.4772727272727273
RT @MLBHR: Dominic Smith - New York Mets (2) Solo,0.13636363636363635,0.45454545454545453
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
"RT @JaniceDean: They are hiding the numbers. The end. 

“Cuomo, Health Dept. at odds over total New York COVID-19 deaths.” https://t.co/wXO…",0.06818181818181818,0.6022727272727273
"@notkevinForReal Cases or deaths? CA, FL, TX, are all doing worse than New York actually.",-0.08787878787878789,0.38484848484848483
"RT @realDonaldTrump: Just like Radical Left New York is trying to destroy the NRA, if Biden becomes President your GREAT SECOND AMENDMENT d…",0.14727272727272728,0.2409090909090909
RT @MarkSimoneNY: It's now clear to everyone that totally incompetent New York City Mayor Bill De Blasio MUST be removed from office. He ha…,-0.037878787878787866,0.40151515151515155
"RT @jentaub: Nevertheless they persisted. Brava @ejeancarroll and @kaplanrobbie 

“Trump can’t stall a defamation lawsuit filed by a New Yo…",0.13636363636363635,0.45454545454545453
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
RT @EmeraldRobinson: One reason that Gov. Cuomo and Sen. Schumer suddenly want to re-open New York schools: the massive exodus of NY taxpay…,0.04545454545454545,0.6515151515151515
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
@nytimes Boycott the new York times,0.13636363636363635,0.45454545454545453
"RT @CBSNews: AGE IS JUSTT A NUMBER: 76-year-old Jeffrey Miller just proposed to his girlfriend, 71-year-old Gloria Alexis, at their senior…",0.0,0.0
